benchmark_id,framework,framework_version,fold,result,mode,timestap
test_1,RandomForest,0.19.2,0,0.9333333333333333,local,1533867087
test_1,RandomForest,0.19.2,1,1.0,local,1533867087
test_2,RandomForest,0.19.2,0,0.8490566037735849,local,1533867087
test_2,RandomForest,0.19.2,1,0.8490566037735849,local,1533867087
test_1,RandomForest,0.19.2,0,0.9333333333333333,aws,1533867488
test_1,RandomForest,0.19.2,1,1.0,aws,1533867488
test_2,RandomForest,0.19.2,0,0.8679245283018868,aws,1533867488
test_2,RandomForest,0.19.2,1,0.8490566037735849,aws,1533867488
