id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/7592,adult,constantpredictor_enc,0,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:12,0.0,1,3633467054,,0.760696,0.5,
openml.org/t/7592,adult,constantpredictor_enc,1,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:16,0.0,1,3633467055,,0.760696,0.5,
openml.org/t/7592,adult,constantpredictor_enc,2,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:20,0.0,1,3633467056,,0.760852,0.5,
openml.org/t/7592,adult,constantpredictor_enc,3,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:24,0.0,1,3633467057,,0.760852,0.5,
openml.org/t/7592,adult,constantpredictor_enc,4,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:28,0.0,1,3633467058,,0.760852,0.5,
openml.org/t/7592,adult,constantpredictor_enc,5,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:32,0.0,1,3633467059,,0.760647,0.5,
openml.org/t/7592,adult,constantpredictor_enc,6,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:35,0.0,1,3633467060,,0.760647,0.5,
openml.org/t/7592,adult,constantpredictor_enc,7,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:39,0.0,1,3633467061,,0.760647,0.5,
openml.org/t/7592,adult,constantpredictor_enc,8,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:43,0.0,1,3633467062,,0.760647,0.5,
openml.org/t/7592,adult,constantpredictor_enc,9,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:47,0.0,1,3633467063,,0.760647,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,0,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:52,0.0,1,3633467054,,0.942325,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,1,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:54,0.0,1,3633467055,,0.942325,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,2,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:56,0.0,1,3633467056,,0.94202,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,3,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:56:58,0.0,1,3633467057,,0.94202,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,4,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:57:00,0.0,1,3633467058,,0.94202,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,5,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:57:02,0.0,1,3633467059,,0.94202,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,6,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:57:04,0.0,1,3633467060,,0.94202,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,7,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:57:06,0.0,1,3633467061,,0.94202,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,8,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:57:08,0.0,1,3633467062,,0.94202,0.5,
openml.org/t/34539,Amazon_employee_access,constantpredictor_enc,9,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:57:10,0.0,1,3633467063,,0.942308,0.5,
openml.org/t/168868,APSFailure,constantpredictor_enc,0,0.5,aws.docker,0.19.2,,stable,2019-04-03T17:58:03,0.0,1,3633467054,,0.981974,0.5,
